@relation 'user_remapped-weka.filters.unsupervised.attribute.Remove-R6-7,14-23-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,12-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.Resample-B1.0-S3-Z100.0'

@attribute votes_funny numeric
@attribute votes_useful numeric
@attribute votes_cool numeric
@attribute review_count numeric
@attribute friends numeric
@attribute fans numeric
@attribute average_stars numeric
@attribute compliments numeric
@attribute elite numeric
@attribute profile numeric
@attribute cute numeric
@attribute funny numeric
@attribute plain numeric
@attribute writer numeric
@attribute list numeric
@attribute note numeric
@attribute photos numeric
@attribute hot numeric
@attribute more numeric
@attribute cool numeric
@attribute personality {Extraverted,Introverted}

@data
14,41,11,59,1,1,3.79,2,1,0,0,0,0,0,0,1,0,0,0,1,Introverted
0,2,0,2,3,1,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,2,1,5,1,0,4.8,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,3,3,8,1,0,3.88,1,1,0,0,0,0,0,0,1,0,0,0,0,Extraverted
2,1,2,7,1,0,4.33,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
5,12,3,26,1,2,3.68,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
139,398,192,373,9,12,3.81,89,5,0,1,8,21,3,3,13,0,18,9,13,Extraverted
28,73,8,91,1,0,3.18,13,1,0,0,2,3,3,0,1,0,0,0,4,Introverted
0,4,2,5,2,0,4.6,1,1,0,0,0,0,0,0,0,0,0,0,1,Extraverted
4,14,4,12,1,0,4.38,1,1,0,0,0,0,0,0,1,0,0,0,0,Introverted
1,2,1,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,0,0,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
122,432,277,219,2,0,3.88,324,3,0,0,34,147,9,0,23,10,21,2,78,Extraverted
0,0,0,3,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,3,3,9,4,0,3.67,2,1,0,0,0,0,0,0,0,0,0,1,1,Extraverted
0,1,0,4,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
10,53,6,61,1,1,3.41,1,1,0,0,0,1,0,0,0,0,0,0,0,Introverted
18,17,4,4,1,0,2.75,1,1,0,0,0,1,0,0,0,0,0,0,0,Introverted
0,1,0,7,1,0,2.57,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,2,0,3,1,0,3.33,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
16,52,19,30,6,1,3.58,6,1,0,1,0,0,1,0,1,0,1,0,2,Extraverted
11,40,14,39,5,2,3.28,15,1,0,3,0,3,1,1,1,1,1,0,4,Extraverted
23,87,12,79,1,0,3.47,4,1,0,0,0,1,2,0,1,0,0,0,0,Introverted
1,2,1,5,1,1,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,5,0,5,1,0,3.6,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
131,211,87,128,1,6,3.39,51,2,0,0,3,11,5,0,7,1,13,1,10,Extraverted
3,8,0,10,1,0,3.64,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
10,114,40,97,4,2,3.6,31,2,1,0,1,8,2,0,5,0,2,4,8,Extraverted
0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
413,393,434,64,9,19,4.38,514,3,4,18,93,65,33,3,53,12,101,14,118,Introverted
0,1,0,4,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,9,5,9,6,3,4.33,5,1,0,1,1,0,0,0,1,0,0,0,2,Extraverted
102,269,151,134,6,6,3.36,63,1,1,1,4,19,5,2,6,2,4,6,13,Extraverted
138,177,128,204,48,4,3.49,51,1,1,0,3,15,6,0,14,0,4,1,7,Extraverted
5,11,2,9,2,1,4.29,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,2,0,7,1,0,4.29,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,4,0,9,5,1,4.89,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
3,10,1,20,1,0,3.9,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,6,4,8,8,1,3.83,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
43,63,59,78,1,2,3.6,15,1,1,0,2,1,1,0,3,0,3,0,4,Introverted
206,648,361,344,49,14,4,330,3,0,2,28,101,26,14,61,3,54,2,39,Extraverted
11,33,16,33,1,0,3.74,1,1,0,0,0,0,0,0,0,0,1,0,0,Extraverted
3,9,1,7,1,0,2.29,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,1,2,3,1,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
3,9,12,15,9,1,4.07,7,1,0,1,0,0,0,0,0,0,2,0,4,Introverted
0,3,2,19,12,1,3.95,3,1,0,0,0,0,1,0,0,0,1,0,1,Extraverted
522,1839,1331,983,40,15,3.74,1209,4,6,0,67,329,81,3,101,18,186,10,408,Introverted
0,0,0,4,1,0,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
3,19,1,23,1,0,4.04,1,1,0,0,0,1,0,0,0,0,0,0,0,Extraverted
143,308,185,268,8,17,3.9,93,6,1,2,3,19,7,0,7,2,15,5,32,Extraverted
1,3,0,3,1,0,2.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,2,1,7,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
47,135,49,120,2,1,3.83,27,3,0,0,3,8,2,1,5,0,1,2,5,Introverted
2,4,1,5,1,0,3.2,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,1,1,6,1,0,3.17,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,7,2,13,1,1,4.23,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
29,64,38,22,27,3,3.39,14,1,0,0,0,5,1,0,2,0,3,0,3,Introverted
12,31,9,17,1,0,3.95,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
14,37,15,25,5,1,3.75,7,1,0,0,0,2,0,0,1,0,0,1,3,Introverted
0,9,2,14,1,0,3.79,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
4,15,9,6,2,0,4.33,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
4,43,13,34,4,0,4.18,2,1,0,0,0,0,0,0,1,0,0,0,1,Extraverted
39,108,38,130,19,2,3.76,33,1,0,0,2,7,2,1,10,0,2,3,6,Extraverted
5,27,7,37,1,0,4.57,2,1,0,0,0,1,0,0,1,0,0,0,0,Extraverted
4,9,1,18,1,0,3.12,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
83,161,87,221,2,2,4.09,52,3,2,6,13,7,5,0,3,0,9,3,4,Extraverted
1,20,2,4,34,0,5,2,1,0,0,0,0,0,0,1,0,0,0,1,Introverted
5,2,0,6,1,0,3.17,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,27,5,27,1,1,3.84,1,1,0,0,0,1,0,0,0,0,0,0,0,Extraverted
9,14,3,14,3,0,3.36,1,1,0,0,0,0,0,0,1,0,0,0,0,Introverted
6,21,3,15,4,0,3.36,1,1,0,0,0,0,0,0,0,0,0,1,0,Extraverted
4,24,11,23,1,0,4.62,5,1,0,0,0,2,2,0,0,0,0,1,0,Introverted
114,353,150,305,6,9,3.98,62,3,2,1,11,9,2,0,4,3,8,2,20,Extraverted
0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
17,62,29,66,5,2,4.23,18,1,0,0,0,8,1,0,2,0,2,0,5,Introverted
1,10,1,18,1,0,2.56,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,2,4,4,1,0,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
4,354,332,21,1,45,4.86,3,1,0,0,0,3,0,0,0,0,0,0,0,Extraverted
58,103,25,104,1,1,3.14,1,1,0,0,0,1,0,0,0,0,0,0,0,Introverted
7,18,4,17,1,0,3.71,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
45,104,46,79,15,0,3.96,16,2,0,0,0,1,3,0,5,0,4,0,3,Extraverted
173,309,133,110,36,3,3.43,35,1,0,0,5,10,9,0,3,0,1,3,4,Introverted
0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,5,1,13,1,0,4.62,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,0,0,3,1,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,0,0,2,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,1,1,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,2,0,3,2,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,5,2,6,1,0,3.17,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,3,1,3,22,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,0,0,1,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,Introverted
26,94,39,93,19,2,3.72,22,2,0,0,3,3,3,0,4,1,3,0,5,Extraverted
0,0,0,1,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
17,39,7,75,3,1,3.68,7,2,0,0,2,3,0,0,0,0,1,1,0,Introverted
0,0,0,3,3,0,2.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
5,7,2,12,1,1,4.5,1,1,0,0,0,1,0,0,0,0,0,0,0,Introverted
5,35,6,13,1,0,3.5,1,1,0,0,0,0,1,0,0,0,0,0,0,Introverted
22,59,18,51,4,1,3.92,37,1,0,1,3,6,2,0,6,1,5,0,13,Extraverted
0,0,0,11,1,0,3.9,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,3,3,8,1,3,4.12,1,1,0,0,0,0,0,0,0,0,0,0,1,Introverted
182,464,241,268,23,25,3.77,259,2,10,9,22,59,17,3,6,24,32,15,62,Extraverted
0,7,0,9,1,0,3.56,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,1,1,3,1,0,2.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
4,6,1,7,1,0,2.6,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,4,0,3,6,0,3.33,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
3,6,1,5,1,0,2.6,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
8,63,18,42,1,0,3.68,2,1,0,0,0,0,1,0,0,0,0,0,1,Extraverted
1,9,1,5,1,0,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,3,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
18,80,10,150,1,0,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,5,2,6,1,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
3,13,0,10,1,0,3.2,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,1,0,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,0,0,1,15,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,Introverted
262,302,102,121,1,8,2.79,59,1,0,1,9,17,8,0,8,3,0,1,12,Extraverted
0,0,0,5,1,0,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
22,32,20,48,3,1,4.06,3,1,0,0,0,0,2,0,1,0,0,0,0,Extraverted
1,2,4,13,2,0,3.31,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
149,277,141,128,10,8,3.76,212,2,3,2,17,78,5,0,14,1,45,4,43,Introverted
3,43,9,41,2,1,3.61,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
2,7,3,16,1,0,3.62,2,1,0,0,0,2,0,0,0,0,0,0,0,Introverted
1,6,2,6,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
48,204,57,254,1,1,3.52,22,4,0,0,2,5,2,0,4,1,2,3,3,Extraverted
0,2,1,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,1,0,5,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
203,361,214,109,16,33,3.48,586,1,2,23,36,96,21,0,69,56,187,12,84,Introverted
1085,2520,1941,404,204,44,4.12,1508,6,2,11,28,473,123,14,110,107,310,10,320,Extraverted
0,0,0,1,1,0,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
2,5,1,9,1,0,3.44,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,1,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,0,0,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
11,25,5,20,1,0,2.79,2,1,0,0,0,0,0,0,0,0,0,1,1,Extraverted
11,62,41,114,1,1,3.99,9,3,0,0,0,1,2,0,2,0,1,0,3,Introverted
0,1,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
10,32,11,12,3,0,3.69,4,1,0,0,0,0,0,0,0,0,1,1,2,Extraverted
1,2,1,4,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
3,21,6,11,1,0,4.55,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
5,11,5,4,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,10,0,11,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,4,0,19,1,0,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,9,2,23,2,1,4.04,5,1,0,0,1,3,0,0,0,0,0,1,0,Introverted
8,15,3,39,1,1,2.93,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,13,9,3,1,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,9,1,5,1,0,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,2,0,6,1,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,0,1,2,1,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
6,13,3,10,1,0,3.6,3,1,0,0,0,3,0,0,0,0,0,0,0,Introverted
0,1,0,4,1,0,3.33,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
278,266,223,83,12,10,3.62,187,2,1,2,30,12,18,2,23,2,41,7,49,Introverted
0,10,8,16,3,0,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,1,0,7,1,0,3.57,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,1,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
2,0,0,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,11,3,5,5,0,3.2,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,3,0,2,2,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
9,40,12,55,1,0,3.55,3,1,0,0,1,2,0,0,0,0,0,0,0,Introverted
7,15,6,8,4,0,3.75,1,1,0,0,0,0,1,0,0,0,0,0,0,Introverted
12,33,8,52,1,1,4.11,4,1,0,0,0,2,0,0,2,0,0,0,0,Extraverted
2,4,1,2,1,0,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,4,1,13,1,0,4.92,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
118,227,134,79,24,1,3.88,17,1,1,1,0,8,1,1,2,0,1,0,2,Extraverted
69,180,58,118,4,3,3.84,18,3,0,0,1,1,1,0,6,0,1,2,6,Introverted
0,1,0,5,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
14,37,17,21,1,1,3.67,8,1,0,0,0,1,3,0,1,0,1,1,1,Extraverted
0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
5,44,9,28,1,1,3.75,2,1,0,0,0,2,0,0,0,0,0,0,0,Introverted
0,1,0,5,1,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,0,0,4,1,0,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
12,28,13,13,14,1,4.23,1,1,0,0,0,0,0,0,1,0,0,0,0,Extraverted
0,6,1,10,16,0,4.56,4,1,0,0,1,2,0,0,0,0,0,0,1,Extraverted
4,5,6,29,1,0,4.07,1,1,0,0,0,1,0,0,0,0,0,0,0,Extraverted
53,228,128,112,4,0,4.12,125,3,0,0,1,55,7,0,10,15,18,2,17,Extraverted
1,9,1,20,1,0,3.3,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
14,65,15,39,1,0,3.45,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,2,1,3,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,3,1,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,6,0,5,1,0,2.6,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
2,0,0,4,1,0,4.75,1,1,0,0,0,0,0,0,1,0,0,0,0,Extraverted
10,91,28,74,3,2,3.42,3,1,0,0,0,2,1,0,0,0,0,0,0,Extraverted
5915,6671,5699,1930,17,81,3.17,7015,4,108,33,1391,1827,389,54,796,95,786,68,1468,Introverted
24,71,44,48,1,1,3.94,10,2,0,0,4,0,0,0,2,0,0,1,3,Extraverted
5,11,7,6,8,0,4.33,1,1,0,0,0,0,0,0,1,0,0,0,0,Introverted
15,33,16,17,32,0,3.82,64,1,0,0,1,7,3,0,20,0,11,4,18,Extraverted
0,1,0,6,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
83,283,110,204,2,12,3.87,46,3,0,0,6,11,2,0,6,1,4,4,12,Introverted
2,5,2,13,1,0,4.54,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
15,56,16,72,18,2,3.73,11,1,0,0,1,2,0,0,3,1,2,2,0,Extraverted
1,10,2,4,4,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,Introverted
14,47,10,22,1,1,2.96,2,1,0,0,0,0,1,0,0,0,0,0,1,Introverted
35,80,38,45,1,2,4.02,9,1,0,0,0,1,0,0,3,0,3,0,2,Introverted
0,3,2,7,2,0,3.86,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
3,3,3,4,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,7,4,13,7,0,3.62,1,1,0,0,0,0,0,0,1,0,0,0,0,Extraverted
1,6,2,6,1,0,4.2,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
3,4,3,3,8,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
10,25,7,15,1,0,3.27,2,1,0,0,0,0,0,0,2,0,0,0,0,Extraverted
0,2,0,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,5,0,2,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,0,0,2,1,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,2,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,0,0,3,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,2,0,7,1,0,4.29,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,0,0,3,1,0,2.33,1,1,0,0,0,0,0,0,1,0,0,0,0,Introverted
1,6,1,9,1,0,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,1,0,4,1,0,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1483,2070,1592,696,26,32,3.67,972,4,8,13,78,177,62,1,154,24,182,24,249,Extraverted
0,6,0,8,1,0,3.62,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
25,102,27,23,6,3,4.14,6,1,0,0,0,4,2,0,0,0,0,0,0,Extraverted
10,20,13,16,6,0,4.88,8,1,0,0,1,2,1,0,1,0,1,1,1,Introverted
4,5,2,11,2,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,Extraverted
20,33,12,20,7,0,3.8,9,1,0,0,0,2,0,0,0,0,5,0,2,Extraverted
5,24,8,20,1,0,3.86,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,2,2,3,1,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
20,46,27,58,4,2,3.43,4,1,1,0,0,2,0,0,0,0,0,0,1,Extraverted
4,7,7,5,3,0,3,5,1,0,0,0,0,0,0,2,0,2,1,0,Introverted
0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,1,1,4,3,0,4.75,1,1,0,0,0,0,0,0,0,0,1,0,0,Introverted
3,3,4,5,3,0,4.6,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
18,12,8,20,1,0,3.5,3,1,0,0,3,0,0,0,0,0,0,0,0,Extraverted
7,14,9,13,1,0,3.92,1,1,0,0,0,1,0,0,0,0,0,0,0,Introverted
0,10,6,10,1,0,4.57,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
