yelping_since,votes_funny,votes_useful,votes_cool,review_count,name,user_id,friends,fans,average_stars,type,compliments,elite,num_sweet,num_spicy,num_salty,num_carbs,num_crunchy,num_sour,num_citrus,num_exotic,num_chocolate ,num_alcoholic,personality
2009-03,13,50,12,50,Bill,wWL2nVu_f9bEjuq-PvOxOg,1,0,3.6,user,3,0,0,0,3,0,0,0,0,0,0,0,Anxious
2009-10,0,4,1,6,Kylee,7eTIkF2n4-lBvArxjV480Q,4,0,3.17,user,2,0,0,1,0,6,1,0,0,0,0,0,Passive
2010-05,1,10,4,8,Roderick,NWdJ_Q57WZM8XGxFJEjnmg,1,0,4.5,user,0,0,0,0,0,2,0,0,1,0,0,0,Passive
2010-08,19,58,24,37,Sanjith,Wn47EMhtvJQZTsfvvcnkJg,4,4,2.97,user,1,0,6,22,35,15,12,4,6,1,0,5,Anxious
2011-12,8,20,2,44,Amber,GKzWSBv2Dpx3ziMFQ4S0gA,0,0,3.07,user,0,0,11,7,27,3,2,0,4,0,2,6,Anxious
2008-12,1467,2351,1651,464,Sue Ellen,nOA4lSY3D4xsUXJBT4H0pw,28,37,3.61,user,18324,0,0,0,5,1,2,1,0,0,1,1,Anxious
2013-06,0,5,2,6,Lamisha,B-4_1ATtqCuFlKk1c24b2w,1,0,4.0,user,2,0,2,2,2,2,0,0,0,0,0,0,Prosocial
2012-10,6,8,4,28,Beth,5S3qIi-EHG634Mx-_mpBQg,3,0,4.15,user,0,0,2,1,12,1,3,0,0,0,1,0,Anxious
2007-11,26,112,32,102,Allison,X0VDOicOaSMTLYRfyrLdpQ,3,8,3.99,user,12,2,5,1,6,9,1,0,0,0,0,0,Passive
2011-04,3,15,2,16,Jayelynn,skiZJN5OJTyyqP2oRVNhoQ,10,0,4.44,user,1,0,8,0,10,6,2,0,0,0,0,3,Anxious
2008-11,488,761,315,666,Anhers,6NXn9bd7TEbmiS7e8yf5Zw,18,13,3.23,user,140,5,4,1,2,2,2,0,0,0,0,0,Prosocial
2012-07,1,15,2,9,Camille,oj1OfUVWkLKnONMGLsqTSA,5,0,2.0,user,2,0,2,0,4,4,0,0,0,0,0,0,Anxious
2010-01,4,11,4,8,Dani,9QSI33wlJGBQByolpsNOqA,1,0,4.0,user,0,0,3,5,0,4,0,0,0,0,0,1,Risk Taker
2011-10,13,57,13,80,Athena,Gwzz8Z8-Xdfsum3aBOI9bw,0,1,3.4,user,1,0,25,7,54,23,23,5,8,2,0,8,Anxious
2010-10,3,6,0,2,Jacob,rWEzjsSvYb1IsRphYb9Ceg,0,0,1.0,user,0,0,0,0,5,0,0,0,0,0,0,1,Anxious
2011-03,4,4,2,4,Darren,VVsuCYRKmQ34t5_WSyaR5A,3,0,3.5,user,1,0,0,2,0,0,0,0,1,0,0,0,Risk Taker
2005-03,30,140,33,70,Ivy,AC84oF7Ciuw7M52RszgWUA,2,3,3.89,user,9,0,0,0,0,2,0,0,0,0,0,0,Passive
2007-11,22,53,26,29,Emily,72OdAJ2eQYecT91OdJXyfQ,0,0,3.9,user,12,0,0,2,1,2,1,0,0,0,0,0,Risk Taker
2012-01,7,26,5,18,Adrianne,T3yR0xYaj_eibS385G_R-w,1,1,3.68,user,0,0,4,5,2,6,1,2,1,3,0,1,Passive
2010-10,0,18,2,7,Rob,K88gnx3gt6vnG0voqQvUyw,0,0,3.67,user,0,0,3,0,5,0,4,0,0,0,0,0,Anxious
2011-05,0,1,0,1,Rob,XWzF4wam-7OJEgoPO_jHiQ,2,0,1.0,user,0,0,3,1,0,0,0,1,1,0,0,0,Prosocial
2008-06,4,3,0,6,Jamie,TgOx2YOoPs9TX16BgAjYQg,0,0,3.67,user,0,0,0,2,0,0,0,0,0,0,0,0,Risk Taker
2010-01,2,11,1,9,Katie,4OnussgeseojRRimclMnSA,4,0,3.11,user,2,0,1,1,7,2,1,0,4,0,0,1,Anxious
2006-12,20,43,16,21,Norma,lINtxEY5Dm4UD9jbciJbBg,0,1,2.95,user,8,0,1,1,2,2,1,0,1,0,0,0,Anxious
2010-11,111,141,52,153,JD,-KCR0e2Nyc7a7qvqnr9njQ,15,3,3.76,user,19,2,2,9,24,11,4,3,1,2,0,5,Anxious
2008-06,4,15,4,18,Danica,pCQz3sc_7rI-be4-Ek6SRg,99,2,4.29,user,14,0,1,0,2,0,0,0,2,0,0,0,Anxious
2010-05,0,4,2,8,Rebecca,Q-kw41pmxwNCBQ63Y-FIpA,2,0,4.75,user,0,0,2,0,7,2,0,1,1,0,0,4,Anxious
2012-06,0,1,0,4,Josh,0Lcs_TYP-kJNPYiQlsO6UA,0,0,3.0,user,0,0,0,0,3,0,0,0,0,0,0,1,Anxious
2011-12,4,4,2,8,Brad,5_uVM3gLDRdJrf2xuAiOBQ,0,0,2.62,user,0,0,0,1,3,1,0,0,0,0,0,1,Anxious
2007-12,31,101,20,28,Tanner,JNAzYLB6OvCZLYlIPDo03g,7,3,2.79,user,5,0,1,0,3,1,0,0,0,0,0,2,Anxious
2011-06,2,14,0,5,Jess,ww87ZVtgl710hW2vOqw7qg,0,0,3.6,user,0,0,3,0,15,2,1,0,0,0,0,0,Anxious
2012-07,5,27,7,37,Sham,Ohs0L7Oyz-N8GLxVhhV1kw,0,0,4.57,user,2,1,7,0,18,0,0,0,0,0,0,0,Anxious
2010-07,0,9,0,2,Diana,kqbAR7hVxbENHTNJIkGH2Q,1,1,5.0,user,0,0,1,0,0,0,0,0,2,0,0,0,Conscientious
2010-06,0,3,0,3,Jeff,J5oUCKzslgQDg6ByXveDCA,1,1,4.5,user,0,0,0,0,3,0,0,0,0,0,0,0,Anxious
2008-10,10,36,5,32,Tod,A-w9BwZHo9kFYXHfGK7_cA,0,0,2.79,user,1,0,0,0,2,0,0,0,0,0,0,0,Anxious
2013-01,0,1,0,4,Charlotte,Th0A4wIuGwHf4W7-rQR9gw,0,0,3.75,user,0,0,2,0,2,2,1,0,1,0,2,2,Prosocial
2008-10,93,89,26,103,Mike,MP-kuWFYjHnjQUkwZyxJCQ,0,1,3.3,user,5,0,0,1,2,0,0,0,2,0,0,0,Anxious
2011-08,1,0,0,2,Budd,Wy3QFknCHQ_ln39OFi9B-Q,0,0,3.0,user,0,0,0,0,2,0,0,0,0,0,0,0,Anxious
2011-03,3,20,3,6,Sunny,bPCo3Dom-QzYPR8xJymWTQ,0,0,2.25,user,0,0,4,0,0,0,0,0,0,0,2,0,Prosocial
2010-04,2,16,6,17,Joe,aIoobaKvshFQQDuguEL3_Q,0,0,3.94,user,1,0,5,0,5,0,2,1,0,0,0,6,Liberal
2009-10,25,92,24,55,Heather,cCNucgcprU1pEr_TH5qfaw,8,2,4.02,user,5,0,12,7,23,18,10,5,2,0,0,2,Anxious
2009-12,0,1,0,1,C,6C7IdQ4zldaf09plBURcrQ,0,0,5.0,user,0,0,0,0,2,1,0,0,2,0,0,0,Anxious
2012-12,15,33,10,28,Ioan,ZNuAQq-84KCxlmPWkugoBQ,1,0,4.23,user,2,0,9,2,7,1,0,0,1,2,1,16,Liberal
2006-05,26,138,124,186,melissa,a0pG_Dl4sKb3yNps7I_hMQ,4,8,3.94,user,33,2,4,0,0,0,0,0,0,0,1,1,Prosocial
2010-08,4,9,5,11,rubali,prNDsstT2y8g5lT2LG9NPw,1,0,3.9,user,1,0,0,0,2,0,0,0,0,0,0,0,Anxious
2011-02,3,23,1,31,Carla,vktGo1HGeFVoIvZ1K34a_Q,5,0,3.45,user,3,0,2,1,0,0,0,0,0,0,0,0,Prosocial
2010-07,0,0,0,1,Chad,4VaskLw9ByZSJhRnC4mwJg,1,0,5.0,user,0,0,0,0,2,1,0,0,0,0,0,0,Anxious
2010-11,4,37,8,19,Ian,rCPeEu2FNDZQCzwNpTZaqw,0,0,4.65,user,0,0,1,1,3,0,0,0,0,0,0,0,Anxious
2013-03,0,2,0,6,Eric,ww3HfMphR7_R5pyDBBJ_LA,0,0,2.33,user,0,0,2,1,3,0,0,0,0,0,0,0,Anxious
2011-12,2874,4298,3497,789,Mel,oOayyTrVO-PbVeXXsh_JEQ,41,23,3.86,user,2741,3,7,2,6,0,6,0,0,1,0,0,Prosocial
2006-07,1452,5034,3922,772,Holly,yJm4kh4wrdc-a7KuErfqxQ,50,143,3.84,user,4328,7,2,0,2,9,0,0,0,0,0,9,Passive
2009-10,3,12,3,10,Michael,UQj7Yw-6rXaZdwsygHeuQg,0,0,4.3,user,0,0,2,0,0,0,0,0,0,0,0,0,Prosocial
2009-04,28,90,28,96,Peaches And Cream,5j7qmDZTAetaH0yXFnAFyw,3,3,3.3,user,8,0,14,14,32,20,9,4,5,1,1,14,Anxious
2012-03,0,1,0,2,Bert,PStPNRYZ6PQ9iSMtNDWhdg,0,0,5.0,user,0,0,0,0,2,0,0,0,0,0,0,1,Anxious
2012-04,0,7,1,3,Alexandria,dvZiYJ3bZQ2NFlT16z8KSw,0,0,2.67,user,0,0,0,0,3,0,1,0,0,0,0,0,Anxious
2009-01,207,499,249,78,Elizabeth,NXewRPjoqPjFSYOjwYNTZQ,7,5,3.1,user,32,0,49,0,9,1,1,0,2,0,3,0,Prosocial
2010-12,8,11,2,5,Jane,qgnequH3yIsYVJAjlazTGg,2,0,4.0,user,0,0,2,0,1,0,0,0,0,0,0,0,Prosocial
2012-08,5,3,2,2,Tim,Op4O95STIw7GMZCocd8fDQ,0,0,4.0,user,0,0,0,0,2,1,1,0,0,0,0,3,Liberal
2009-01,16,86,23,68,Kristen,3Z2c8dL_nRXc7dd5_sFsPw,9,2,3.99,user,12,0,0,1,2,0,0,0,1,0,0,1,Anxious
2009-04,15,185,83,98,Jackie,-pZBAoPnG5DW32qOzbJxfA,4,4,4.27,user,36,4,4,8,5,1,0,0,0,0,0,0,Risk Taker
2007-07,14,30,25,29,Marcia,3PleJJEDyGLIWqaW7JlTyQ,49,2,3.89,user,6,0,15,0,9,18,3,1,2,1,0,1,Passive
2013-01,1,2,2,15,Lawanda,Vgo3sCbziYzH_Ox6IJKMaw,1,0,3.88,user,0,0,0,2,0,0,0,0,0,0,2,0,Risk Taker
2010-12,1,11,2,5,George,ApWNDrDgb1Os9_tIoi2C9Q,1,0,1.67,user,1,0,0,2,0,0,0,0,0,0,0,0,Risk Taker
2009-05,45,65,46,46,Aimee,STRH5HCQ9lkCMNy5R7pq9Q,23,3,3.46,user,9,0,4,13,17,11,8,3,3,0,0,13,Anxious
2007-06,4,25,5,68,Adrian,lpyN2FydeLSpENyU1klW0g,2,0,3.68,user,6,0,1,1,6,1,1,1,4,0,0,0,Anxious
2011-10,0,2,1,3,Bonnie,DWXFv34dnuv51HZPx9-j7A,0,0,4.0,user,0,0,2,0,0,1,0,0,0,1,0,1,Prosocial
2011-05,3,12,7,11,Mike,Nj4hLqsNh0vpIt0-HwakHA,3,0,3.91,user,1,0,20,4,14,1,7,0,2,0,2,3,Prosocial
2012-12,0,2,1,6,Shannon,ZGNvNExS1qork2ExB9FBmg,0,0,3.83,user,0,0,0,0,2,0,0,0,0,0,0,0,Anxious
2009-10,0,6,0,2,Nataya,bc3SCW1ccSPWbmGtcpeExg,0,0,5.0,user,2,0,1,11,4,3,0,0,2,0,0,0,Risk Taker
2012-05,2,12,1,5,Clysper,BenSpFjwd0aZTQ59SeDnIg,0,0,2.0,user,0,0,2,1,13,2,5,0,0,0,1,8,Anxious
2010-10,14,45,15,52,Colette,E9jtD7EFBRQDaswk6goqDg,4,1,4.0,user,11,0,0,0,0,0,2,0,0,0,0,0,Perfectionist
2012-06,0,1,0,1,Kelsie,TqahS1scso6SLS-vuwUFrQ,0,0,5.0,user,0,0,4,1,4,0,0,0,0,1,0,3,Prosocial
2010-05,0,1,0,3,Catherine,eEVVKWD6BmcpTj1_EpT2sg,0,0,3.33,user,0,0,4,1,5,2,0,0,0,1,0,3,Anxious
2007-08,39,115,36,75,Kyung,z9itXf8rCW3KjgcCECOs3g,0,1,3.32,user,13,0,3,1,2,7,1,0,0,0,1,1,Passive
2011-07,4,9,4,10,Tony,RvZks2VBHdym25_d6I8YGw,0,0,3.89,user,0,0,0,0,2,0,2,0,0,0,0,0,Anxious
2012-12,0,0,1,5,Gary,ap-xytOsXjrlEf4MUybyZA,0,1,4.2,user,0,0,2,1,0,0,0,1,0,2,0,0,Prosocial
2011-10,3,11,4,5,Tessa,Xp2PGQp5gTQwBKWaHMO1ug,1,0,4.8,user,0,0,0,0,0,2,0,0,0,0,0,0,Passive
2013-12,0,2,0,6,Old,jJY5CRu-yoU_wKm_Hn1KbA,0,0,3.33,user,0,0,1,0,16,0,2,0,0,0,0,0,Anxious
2010-05,2,13,2,9,Mel,qnj4hUBiIv1KfwRLs-4uBQ,0,0,4.0,user,1,0,0,0,0,2,0,0,0,0,0,0,Passive
2010-07,4,9,3,8,Mark,Fa0cKTkPhxdYi9HpcuQh8g,2,0,3.62,user,0,0,1,2,12,6,2,0,0,0,0,4,Anxious
2013-03,0,0,0,1,Dan,O7zDKEFvvfPAgems62cCIw,0,0,4.0,user,1,0,0,1,2,2,2,0,1,1,0,0,Anxious
2013-05,0,0,0,1,Clayton,aO2PpD3dhn5kmwyr_QUh3w,4,0,5.0,user,0,0,0,0,2,0,0,0,0,0,0,0,Anxious
2012-03,3,55,13,53,John,06FvM-0mpGxQSfoV4Em7bg,3,0,3.85,user,6,0,0,4,5,1,1,0,1,0,0,7,Liberal
2011-10,0,0,0,1,Kriss,zKVrFcAqiR2faJXL0BOl2g,1,0,5.0,user,1,0,0,2,0,0,0,0,0,0,0,0,Risk Taker
2008-09,1,20,4,14,Hannah,FFzadNTcO4mwRSELjBq9Cw,0,0,4.21,user,1,0,19,19,37,15,14,7,5,0,0,4,Anxious
2011-09,0,2,0,1,Brian,GImAFVzC2EQ55mwMixa6JQ,3,1,5.0,user,0,0,2,0,3,0,2,0,0,0,0,0,Anxious
2009-10,4,30,3,16,Jennifer,4U1fW-a2o9OGWUjhz7n2Zw,0,0,4.94,user,2,0,3,0,1,0,0,0,0,0,1,0,Prosocial
2010-09,15,61,12,29,Kathy,8D408fDn0twwIW6FZ42YWg,1,0,3.14,user,3,0,10,3,15,7,5,1,11,3,0,5,Anxious
2012-05,3,6,3,3,Jennifer,q748QtC81tYY9AdmYy8K9g,0,0,5.0,user,0,0,0,0,3,0,0,0,0,0,0,0,Anxious
2009-05,5,25,9,28,sean,xZMxQPd6cqd3S1p3Rw4IYQ,0,0,4.64,user,4,0,0,0,3,1,0,0,0,0,0,0,Anxious
2012-06,1,14,2,7,Matt,FzZMm9blWp1_a4uX3DRXew,0,0,3.17,user,0,0,3,0,5,1,0,1,1,0,0,1,Anxious
2013-02,1,7,3,7,Veronica,4QUliUqqJHv0L8rcb4Oe7Q,0,0,2.86,user,0,0,0,2,0,1,0,0,0,0,0,0,Risk Taker
2012-07,0,3,1,5,Toni,SW20kUuXCYpm5LJzlQMzWw,0,0,4.5,user,0,0,3,0,5,1,3,1,0,1,0,0,Anxious
2009-02,2,23,5,8,Joshua,f2vSByeyI8_MzKUiqFqCbw,2,0,4.62,user,0,0,0,0,3,0,0,0,0,0,1,0,Anxious
2009-09,158,436,134,488,Barclay,uEWZl4BK_Tde6pKxNjXy2g,3,0,3.69,user,29,3,0,0,9,0,2,0,4,0,0,6,Anxious
2006-10,9,28,9,32,lynn,EQg06zguYjudJKeu4zjHAQ,0,0,3.66,user,3,0,1,0,5,0,0,0,0,3,0,0,Anxious
2012-09,1,0,0,1,Scott,oty46vHhHK9xsgrDxGSKCw,0,0,4.0,user,0,0,0,0,2,1,2,0,0,0,0,0,Anxious
2012-11,0,0,0,5,Matt,YEMqhZktw_EMLhWvp6SHrA,0,0,4.6,user,0,0,0,0,2,0,0,0,0,0,0,0,Anxious
2008-01,5,21,11,8,Ropyro,aqqbh1NZoFk48kp0eqSLdg,0,0,4.75,user,1,0,0,2,1,0,0,0,0,0,0,0,Risk Taker
2012-02,1,9,4,24,Brian,TocDkq1UljoZ9_Q0cR-3eQ,6,1,4.1,user,0,0,1,0,3,1,0,0,0,0,0,4,Liberal
2008-05,2,16,11,23,Libby,36qYhoTEx_XxY4d_L-O_-Q,0,0,4.12,user,1,0,0,2,5,0,3,1,2,0,0,0,Anxious
2010-06,15,51,6,25,Jessica,g3Ki_WNI54Eu3Tsnma9iYQ,1,0,3.08,user,1,0,3,0,1,2,0,0,0,0,0,0,Prosocial
2012-05,2,13,1,9,Bobbie Jo,RPlD7tlYyO7QNfRkBSugeA,0,0,4.44,user,1,0,3,0,3,3,3,0,0,0,0,0,Prosocial
2010-07,0,17,0,5,Stephanie,lyvI4akZ5_XQrp-06MVMlA,2,1,5.0,user,0,0,2,0,0,0,0,0,0,0,1,0,Prosocial
2013-03,6,13,3,10,Kai,QRQAruRsz9M9GOLn8b22pQ,0,0,3.6,user,3,0,1,0,2,6,3,0,0,0,1,3,Passive
2007-05,110,661,242,404,Jeff,UxRuW9FIrn65POpRsV-eLg,6,13,3.95,user,102,7,2,0,2,3,0,0,0,0,0,5,Liberal
2011-08,5,26,10,34,Rebecca,eleS0QegOhi-XT7e65DHVA,5,1,4.09,user,11,0,2,0,2,0,3,0,0,0,1,1,Perfectionist
2010-11,46,145,85,83,Shirley,HpKLR1mrb634jCnTXQr3aA,19,5,3.83,user,46,3,113,46,64,44,27,8,15,6,9,25,Prosocial
2013-09,0,3,1,4,Brittany,4IxHjaLEKtLiIGRMUT8plQ,0,0,4.0,user,0,0,2,2,2,0,0,0,0,0,0,1,Prosocial
2006-12,98,136,77,127,Joel,D-ZHPaSihu4SNzV0xw1nnA,0,1,3.47,user,24,1,1,0,3,0,0,0,0,0,0,1,Anxious
2013-08,0,1,0,3,Chitta,9dRgAKZIFoa5yu8aP4xSsg,0,0,3.0,user,0,0,3,0,3,2,2,1,0,0,0,0,Prosocial
2013-05,0,6,2,36,Davy,IIY-SZiNv3siGKUWzVD_iw,1,0,4.06,user,0,0,0,3,0,0,0,0,0,0,0,0,Risk Taker
2013-10,0,0,0,1,Courtney,jv90_r4pRbyo3aKIipj-OQ,5,0,4.0,user,0,0,2,1,0,0,1,0,0,0,0,0,Prosocial
2009-07,36,117,47,174,Christopher,6KZdYi8bZw4Od4C5VK1Wrg,1,1,3.9,user,29,5,0,2,0,3,0,0,0,0,0,0,Passive
2008-01,4,20,6,8,Amy,XwBwRIFEaWjT25bQew911Q,4,1,4.38,user,4,0,0,6,1,0,0,0,0,1,0,0,Risk Taker
2010-05,36,129,41,104,Kristie,2TaOmpSCAmKob2YBOhvsIw,2,2,3.76,user,14,3,0,0,2,1,4,2,0,0,0,1,Perfectionist
2011-11,2,6,1,12,Jamie,KM7Z80w-mhd9ykNv43nznw,0,0,2.88,user,1,0,0,0,8,0,3,0,0,0,0,0,Anxious
2012-09,398,475,446,111,Cheryl,xsTlqAQ7TjNFIUl5ihK00g,145,10,4.22,user,561,2,99,38,54,34,34,13,10,5,5,8,Prosocial
2008-03,2,20,5,13,Paul,zKWGQ2kbJx8qwpfc9eIxig,2,1,3.54,user,2,0,0,1,2,3,0,0,0,0,0,0,Passive
2010-08,0,1,0,3,Paul,wao4A9QFsxacwg3M0prbNw,0,0,3.33,user,0,0,1,0,2,2,0,0,0,1,1,0,Anxious
2011-12,0,0,0,4,Geri,9_kyYsnenlRvbiblBun_dA,0,0,3.25,user,0,0,5,0,0,1,0,0,0,0,0,0,Prosocial
2013-08,0,3,0,4,Lana,550cb6mWIDtABn4EH8vg3g,1,0,4.33,user,0,0,0,0,1,0,0,0,2,0,0,0,Conscientious
2010-05,200,405,129,164,Lalo,2u_x05V1DbhXssdFzMXcGA,2,8,3.66,user,32,4,0,2,15,4,2,1,0,0,0,0,Anxious
2010-03,6,13,1,15,Cathleen,ge1JTvFwVmp7BUmOHP_qsg,1,0,3.38,user,0,0,1,0,14,10,0,0,0,0,0,1,Anxious
2011-07,2,10,2,23,Sara,mSGCYGJB3TIjE92zVDmo0g,0,0,3.52,user,2,0,10,5,10,1,3,0,1,0,4,0,Prosocial
2013-02,0,0,0,3,Jake,TPpfXJ-1usSy8-4hS7u7sw,0,0,4.0,user,0,0,2,0,0,2,0,0,0,0,0,0,Prosocial
2013-01,0,0,0,2,Meagan,RAv_96VCB7UcU81rDxtnDQ,0,0,3.0,user,0,0,0,1,4,1,2,0,0,0,0,0,Anxious
2010-02,4,47,11,20,Regi,mbgppRfYH0kC7p7X2VPcGg,6,2,3.6,user,1,0,3,0,5,3,2,1,5,1,0,2,Anxious
2013-01,0,1,0,3,Millie,ZQA2QuPRv_hs9Oit0DVnvg,0,0,5.0,user,0,0,0,8,0,0,0,0,0,0,0,0,Risk Taker
2011-06,4,0,0,1,Chase,HEUCV4mQHiLbbatWmYfWbQ,0,0,1.0,user,0,0,4,0,0,1,0,0,0,0,0,2,Prosocial
2012-07,3,14,1,8,Mindy,U4vvxA_sY1EDB2JuJjHB8w,5,1,3.75,user,0,0,0,0,2,0,0,0,0,1,0,2,Anxious
2010-05,151,300,84,178,Chris,cTU1DSkKH8b1DyQbNIsW2g,0,7,3.13,user,16,3,0,0,3,0,0,0,2,0,0,0,Anxious
2007-07,192,416,307,227,Kelsey,SbM_nNm7KyjEDiBPReGJxw,7,8,4.12,user,236,2,0,0,1,1,2,0,0,0,0,1,Perfectionist
2010-09,5,54,3,19,Andrea,xNWuI4DDw4NMMEXnpy-g9w,3,3,3.53,user,1,0,6,4,9,2,0,0,2,0,2,2,Anxious
2011-03,6,9,1,9,Jay,SmDl7nRUwScvZvkILM9HpA,5,0,3.0,user,2,0,2,1,4,2,3,0,0,0,0,1,Anxious
2007-09,45,117,67,89,Arjun,A0O7UHxcCJJXIYJDBGT_hQ,1,1,3.21,user,17,0,3,6,11,5,2,0,0,0,0,4,Anxious
2010-09,9,13,6,7,Kaitlin,uFOYBSZV2DZhNNPEePWbUQ,3,2,4.29,user,3,0,5,1,9,3,2,0,0,0,0,0,Anxious
2012-08,0,0,0,2,Lindsey,bZJsBsLtFJdhIZf-IRAEyg,0,0,1.5,user,0,0,1,0,2,0,1,0,0,0,0,0,Anxious
2011-02,2,9,0,13,Jim,OFaAdHEBwPHel6ZdrKgc6w,0,0,3.0,user,0,0,0,3,14,3,3,3,1,0,0,0,Anxious
2011-04,12,86,18,111,Bianca,KTMqiNYmGBzenePbCVLa-g,1,1,3.51,user,17,0,2,1,0,2,0,0,0,0,0,0,Prosocial
2008-12,16,45,15,49,Philippos,H0nYlvGjMA9szTaqIwTwpg,17,4,3.8,user,3,0,1,2,8,2,0,0,0,0,0,2,Anxious
2010-11,5,22,5,18,Clover,5CttQfnbWHYaHH9ivMNBXw,7,0,3.7,user,12,0,2,0,1,5,0,0,2,0,0,1,Passive
2013-09,0,2,0,2,Ciara,TSIYBny18lIG05KYKNQVSw,0,0,3.5,user,0,0,3,1,1,4,1,2,2,0,1,1,Passive
2008-09,17,43,17,22,Deadeye,iEuLOmNVXgwrn1fkqRedsA,6,0,3.95,user,3,0,0,1,23,2,1,0,0,0,0,3,Anxious
2009-06,1,1,0,10,Kelly,u11icoOGFVk0am2zZOa63w,2,0,3.5,user,1,0,0,0,2,0,0,0,0,0,0,0,Anxious
